step,nmr,nmr_front,nmr_wrist,nmr_overhead,coverage_green_blue,coverage_green_blue_front,coverage_green_blue_wrist,coverage_green_blue_overhead
0,0.18222281336784363,0.35114309191703796,0.0,0.21907339990139008,0.8177772164344788,0.6488569378852844,1.0,0.7809265851974487
1,0.18175779283046722,0.35012853145599365,0.0,0.21896414458751678,0.8182421922683716,0.6498714685440063,1.0,0.781035840511322
2,0.181359201669693,0.3494471609592438,0.0,0.21932490170001984,0.8186408281326294,0.6505528688430786,1.0,0.7806751132011414
3,0.18096061050891876,0.34874165058135986,0.0,0.21898044645786285,0.8190394043922424,0.6512583494186401,1.0,0.7810195684432983
4,0.18069487810134888,0.34742504358291626,0.0,0.21918688714504242,0.8193051218986511,0.6525749564170837,1.0,0.7808130979537964
5,0.18029628694057465,0.34699103236198425,0.0,0.2196541130542755,0.8197036981582642,0.6530089378356934,1.0,0.7803458571434021
6,0.17810402810573578,0.3450217545032501,0.0,0.2172425091266632,0.821895956993103,0.6549782156944275,1.0,0.7827575206756592
7,0.17697468400001526,0.3437660336494446,0.0,0.2180500626564026,0.8230252861976624,0.6562339663505554,1.0,0.7819499373435974
8,0.18972961604595184,0.37923523783683777,0.0,0.22102195024490356,0.810270369052887,0.6207647919654846,1.0,0.7789780497550964
9,0.18693947792053223,0.371821790933609,0.0,0.22037571668624878,0.8130605220794678,0.6281782388687134,1.0,0.7796242833137512
10,0.15206271409988403,0.3456498980522156,0.0,0.15974967181682587,0.847937285900116,0.6543501019477844,1.0,0.8402503132820129
11,0.15983524918556213,0.3452133238315582,0.0,0.1776716560125351,0.8401647806167603,0.6547867059707642,1.0,0.8223283290863037
12,0.16827210783958435,0.3480931520462036,0.0,0.19375619292259216,0.831727921962738,0.6519068479537964,1.0,0.8062437772750854
13,0.17724041640758514,0.3455098867416382,0.0,0.21734066307544708,0.8227595686912537,0.6544901132583618,1.0,0.7826593518257141
14,0.18541154265403748,0.3452589511871338,0.0,0.23980285227298737,0.8145884275436401,0.6547410488128662,1.0,0.7601971626281738
15,0.19743572175502777,0.3421245515346527,0.0,0.2744584083557129,0.802564263343811,0.6578754782676697,1.0,0.7255415916442871
16,0.20640404522418976,0.3374665677547455,0.0,0.30559998750686646,0.7935959696769714,0.6625334024429321,1.0,0.6944000124931335
17,0.21304723620414734,0.3353658616542816,0.0,0.3237893283367157,0.786952793598175,0.6646341681480408,1.0,0.6762107014656067
18,0.21869394183158875,0.33567309379577637,0.0,0.3373056948184967,0.7813060283660889,0.6643269062042236,1.0,0.6626942753791809
19,0.22194911539554596,0.3306941092014313,0.0,0.3477681577205658,0.7780508995056152,0.6693058609962463,1.0,0.6522318720817566
20,0.22354348003864288,0.3300534188747406,0.0,0.3525909185409546,0.7764565348625183,0.6699466109275818,1.0,0.6474090814590454
21,0.2329103797674179,0.35660848021507263,0.0,0.3657491207122803,0.7670896053314209,0.6433915495872498,1.0,0.6342508792877197
22,0.23981930315494537,0.36528703570365906,0.0,0.3797425329685211,0.7601807117462158,0.6347129344940186,1.0,0.6202574372291565
23,0.24347306787967682,0.3747096657752991,0.0,0.3859435021877289,0.7565269470214844,0.6252903342247009,1.0,0.6140565276145935
24,0.247724711894989,0.3867500126361847,0.0,0.3933657705783844,0.752275288105011,0.6132500171661377,1.0,0.6066341996192932
25,0.2529064118862152,0.3931812644004822,0.0,0.40425533056259155,0.7470936179161072,0.6068187355995178,1.0,0.5957446694374084
26,0.25569653511047363,0.40391114354133606,0.0,0.4049879014492035,0.7443034648895264,0.5960888266563416,1.0,0.5950120687484741
27,0.25450077652931213,0.4101947546005249,0.0,0.3965291976928711,0.7454992532730103,0.5898052453994751,1.0,0.6034708023071289
28,0.2534378468990326,0.4162667989730835,0.0,0.3862581253051758,0.746562123298645,0.5837332010269165,1.0,0.6137418746948242
29,0.25197634100914,0.422195702791214,0.0,0.3756496012210846,0.7480236291885376,0.5778042674064636,1.0,0.6243504285812378
30,0.2493855059146881,0.4261241853237152,0.0,0.36217713356018066,0.7506145238876343,0.5738757848739624,1.0,0.6378228664398193
31,0.24765826761722565,0.4355977475643158,0.0,0.3796749413013458,0.7523417472839355,0.5644022226333618,1.0,0.6203250288963318
32,0.2286587357521057,0.43987172842025757,0.0,0.40241989493370056,0.7713412642478943,0.5601282715797424,1.0,0.597580075263977
33,0.20872916281223297,0.4330468475818634,0.0,0.4092203974723816,0.7912708520889282,0.5669531226158142,1.0,0.5907796025276184
34,0.19976083934307098,0.43113067746162415,0.0,0.433887779712677,0.8002391457557678,0.5688692927360535,1.0,0.566112220287323
35,0.19424699246883392,0.43661972880363464,0.0,0.4507974684238434,0.8057529926300049,0.5633803009986877,1.0,0.5492025017738342
36,0.18879957497119904,0.4310072660446167,0.0,0.469037801027298,0.8112004399299622,0.5689927339553833,1.0,0.5309622287750244
37,0.1834850162267685,0.4187459945678711,0.0,0.49187541007995605,0.8165149688720703,0.5812540054321289,1.0,0.508124589920044
38,0.17777186632156372,0.39676499366760254,0.0,0.5063965916633606,0.8222281336784363,0.6032350063323975,1.0,0.4936034083366394
39,0.17013220489025116,0.368240088224411,0.0,0.5078957080841064,0.8298677802085876,0.6317599415779114,1.0,0.49210429191589355
40,0.16501693427562714,0.34825563430786133,0.0,0.5093914270401001,0.8349830508232117,0.6517443656921387,1.0,0.4906085729598999
41,0.167209193110466,0.3772769272327423,0.0,0.47733137011528015,0.8327907919883728,0.6227230429649353,1.0,0.5226686596870422
42,0.16162891685962677,0.42026206851005554,0.0,0.42655473947525024,0.8383710980415344,0.5797379612922668,1.0,0.5734452605247498
43,0.16089816391468048,0.48315343260765076,0.0,0.37514886260032654,0.8391018509864807,0.5168465971946716,1.0,0.6248511075973511
44,0.17092938721179962,0.5787572264671326,0.0,0.3839462101459503,0.8290706276893616,0.42124277353286743,1.0,0.6160537600517273
45,0.18076130747795105,0.7256302237510681,0.0,0.3935075104236603,0.8192386627197266,0.2743697464466095,1.0,0.6064924597740173
46,0.18514582514762878,0.7228618264198303,0.0,0.4225872755050659,0.8148542046546936,0.2771381437778473,1.0,0.5774127244949341
47,0.184614360332489,0.6295093894004822,0.0,0.4549054205417633,0.815385639667511,0.3704906105995178,1.0,0.5450946092605591
48,0.19212117791175842,0.5964516401290894,0.0,0.46918579936027527,0.807878851890564,0.40354838967323303,1.0,0.5308142304420471
49,0.1907925307750702,0.5377697944641113,0.0,0.4701264798641205,0.8092074394226074,0.46223020553588867,1.0,0.5298735499382019
50,0.19178901612758636,0.5051078200340271,0.0,0.4759243428707123,0.8082109689712524,0.4948921799659729,1.0,0.5240756869316101
51,0.289244681596756,0.4514223635196686,0.0,0.44519495964050293,0.7107553482055664,0.5485776662826538,1.0,0.5548050403594971
52,0.2901747226715088,0.4222903847694397,0.0,0.4968045651912689,0.7098252773284912,0.5777096152305603,1.0,0.5031954050064087
53,0.28891250491142273,0.4131597876548767,0.0,0.5224089622497559,0.7110874652862549,0.5868402123451233,1.0,0.47759103775024414
54,0.2887796461582184,0.4108683168888092,0.0,0.5365765690803528,0.711220383644104,0.5891317129135132,1.0,0.4634234309196472
55,0.2863216698169708,0.4056888520717621,0.0,0.5413479208946228,0.7136783599853516,0.5943111777305603,1.0,0.4586521089076996
56,0.2870524227619171,0.406711608171463,0.0,0.5461567044258118,0.7129476070404053,0.5932884216308594,1.0,0.4538433253765106
57,0.28698599338531494,0.4063396453857422,0.0,0.5485060811042786,0.7130140066146851,0.5936603546142578,1.0,0.45149391889572144
58,0.28645452857017517,0.4050215184688568,0.0,0.5502586960792542,0.7135455012321472,0.5949784517288208,1.0,0.44974130392074585
59,0.28552448749542236,0.40336012840270996,0.0,0.5522996783256531,0.7144755125045776,0.59663987159729,1.0,0.44770029187202454
60,0.2852587401866913,0.40312859416007996,0.0,0.5543113350868225,0.7147412300109863,0.5968714356422424,1.0,0.4456886947154999
61,0.2804756462574005,0.43845653533935547,0.0,0.5148147940635681,0.7195243239402771,0.5615434646606445,1.0,0.4851851761341095
62,0.26838505268096924,0.45065611600875854,0.0,0.4798122048377991,0.7316149473190308,0.5493438839912415,1.0,0.5201877951622009
63,0.2566930055618286,0.45397326350212097,0.0,0.45232558250427246,0.7433069944381714,0.5460267663002014,1.0,0.5476744174957275
64,0.242609441280365,0.4597574472427368,0.0,0.43467405438423157,0.757390558719635,0.5402425527572632,1.0,0.565325915813446
65,0.23065169155597687,0.49777427315711975,0.0,0.41451185941696167,0.7693483233451843,0.5022256970405579,1.0,0.5854881405830383
66,0.2409486472606659,0.5805274844169617,0.0,0.41613247990608215,0.7590513229370117,0.41947251558303833,1.0,0.5838675498962402
67,0.23450474441051483,0.635383665561676,0.0,0.41535112261772156,0.765495240688324,0.36461636424064636,1.0,0.5846489071846008
68,0.2301202416419983,0.6922214031219482,0.0,0.45577847957611084,0.7698797583580017,0.30777859687805176,1.0,0.5442215204238892
69,0.2124493420124054,0.7239208817481995,0.0,0.5001574754714966,0.7875506281852722,0.2760791480541229,1.0,0.4998425245285034
70,0.18680661916732788,0.7786259651184082,0.0,0.5399709343910217,0.8131933808326721,0.221374049782753,1.0,0.46002906560897827
71,0.18693947792053223,0.777517557144165,0.0,0.5425337553024292,0.8130605220794678,0.22248244285583496,1.0,0.4574662148952484
72,0.1860758662223816,0.7696759104728699,0.0,0.5432053208351135,0.8139241337776184,0.23032407462596893,1.0,0.4567946791648865
73,0.1853451132774353,0.7662262916564941,0.0,0.5420699715614319,0.8146548867225647,0.23377369344234467,1.0,0.4579299986362457
74,0.18547797203063965,0.7627215385437012,0.0,0.5462720394134521,0.8145220279693604,0.23727844655513763,1.0,0.45372799038887024
75,0.18541154265403748,0.752821683883667,0.0,0.5467166900634766,0.8145884275436401,0.2471783310174942,1.0,0.45328330993652344
76,0.18587656319141388,0.7472098469734192,0.0,0.553490161895752,0.8141234517097473,0.2527901828289032,1.0,0.44650986790657043
77,0.18494652211666107,0.7412472367286682,0.0,0.5597336292266846,0.8150534629821777,0.2587527334690094,1.0,0.44026634097099304
78,0.18408291041851044,0.7154899835586548,0.0,0.579573392868042,0.8159170746803284,0.2845100164413452,1.0,0.4204265773296356
79,0.1856108456850052,0.64838707447052,0.0,0.68629390001297,0.814389169216156,0.3516128957271576,1.0,0.31370609998703003
80,0.1674749255180359,0.2542503774166107,0.0,0.38745981454849243,0.8325250744819641,0.7457495927810669,1.0,0.6125401854515076
81,0.049757521599531174,0.0,0.0,0.42775556445121765,0.9502424597740173,1.0,1.0,0.57224440574646
82,0.046900950372219086,0.0,0.0,0.45111820101737976,0.9530990719795227,1.0,1.0,0.5488817691802979
83,0.043911512941122055,0.0,0.0,0.4436241686344147,0.9560884833335876,1.0,1.0,0.5563758611679077
84,0.041254233568906784,0.0,0.0,0.43640196323394775,0.9587457776069641,1.0,1.0,0.5635980367660522
85,0.039859164506196976,0.0,0.0,0.4301075339317322,0.9601408243179321,1.0,1.0,0.5698924660682678
86,0.03853052482008934,0.0,0.0,0.42059463262557983,0.9614694714546204,1.0,1.0,0.5794053673744202
87,0.03733475133776665,0.0,0.0,0.41445428133010864,0.9626652598381042,1.0,1.0,0.5855457186698914
88,0.03706902265548706,0.0,0.0,0.41394659876823425,0.9629309773445129,1.0,1.0,0.5860534310340881
89,0.03819836676120758,0.0,0.0,0.4262416660785675,0.9618016481399536,1.0,1.0,0.5737583637237549
90,0.03600611165165901,0.0,0.0,0.4106060564517975,0.9639939069747925,1.0,1.0,0.5893939137458801
91,0.03607254475355148,0.0,0.0,0.4004424810409546,0.9639274477958679,1.0,1.0,0.5995575189590454
92,0.036537569016218185,0.00041442186920903623,0.0,0.4016093611717224,0.9634624123573303,0.9995855689048767,1.0,0.5983906388282776
93,0.06271175295114517,0.12689995765686035,0.0,0.42951542139053345,0.937288224697113,0.8731000423431396,1.0,0.5704845786094666
94,0.07805752754211426,0.17523141205310822,0.0,0.43960675597190857,0.9219424724578857,0.824768602848053,1.0,0.5603932738304138
95,0.09752208739519119,0.23186343908309937,0.0,0.4199357032775879,0.9024779200553894,0.7681365609169006,1.0,0.5800642967224121
96,0.11685378104448318,0.28484848141670227,0.0,0.3837011754512787,0.8831462264060974,0.7151514887809753,1.0,0.6162987947463989
97,0.14515379071235657,0.3362090289592743,0.0,0.3420833349227905,0.8548462390899658,0.6637910008430481,1.0,0.6579166650772095
98,0.1757124811410904,0.3695155382156372,0.0,0.29312804341316223,0.8242875337600708,0.6304844617843628,1.0,0.7068719863891602
99,0.19557563960552216,0.3739720284938812,0.0,0.25044524669647217,0.8044243454933167,0.6260279417037964,1.0,0.7495547533035278
100,0.22527070343494415,0.3600779175758362,0.0,0.24835406243801117,0.774729311466217,0.6399220824241638,1.0,0.7516459226608276
101,0.22214840352535248,0.4055095314979553,0.0,0.214731365442276,0.7778515815734863,0.5944904685020447,1.0,0.7852686047554016
102,0.2112535685300827,0.4271584451198578,0.0,0.18474632501602173,0.7887464165687561,0.5728415250778198,1.0,0.8152536749839783
103,0.1909918338060379,0.4141201376914978,0.0,0.15041323006153107,0.8090081810951233,0.5858798623085022,1.0,0.8495867848396301
104,0.18003055453300476,0.3975749909877777,0.0,0.13735097646713257,0.8199694156646729,0.6024250388145447,1.0,0.8626490235328674
105,0.17564605176448822,0.3913983106613159,0.0,0.1344415694475174,0.8243539333343506,0.6086016893386841,1.0,0.8655584454536438
106,0.17345379292964935,0.3888273239135742,0.0,0.1364867091178894,0.8265461921691895,0.6111726760864258,1.0,0.8635132908821106
107,0.17318807542324066,0.3921971321105957,0.0,0.14001892507076263,0.8268119096755981,0.6078028678894043,1.0,0.8599810600280762
108,0.17411811649799347,0.3970205783843994,0.0,0.1477183699607849,0.8258818984031677,0.6029794216156006,1.0,0.8522816300392151
109,0.17418454587459564,0.4045082926750183,0.0,0.15599368512630463,0.8258154392242432,0.5954917073249817,1.0,0.8440062999725342
110,0.1754467487335205,0.4212293326854706,0.0,0.16026657819747925,0.8245532512664795,0.578770637512207,1.0,0.8397334218025208
111,0.14887398481369019,0.33996474742889404,0.0,0.19608274102210999,0.8511260151863098,0.660035252571106,1.0,0.8039172291755676
112,0.11652162671089172,0.28119799494743347,0.0,0.22896039485931396,0.8834784030914307,0.7188019752502441,1.0,0.771039605140686
113,0.09871786087751389,0.2369113713502884,0.0,0.27807486057281494,0.9012821316719055,0.7630886435508728,1.0,0.7219251394271851
114,0.08895236998796463,0.18789373338222504,0.0,0.3685101568698883,0.911047637462616,0.8121062517166138,1.0,0.6314898133277893
115,0.08111339807510376,0.14834025502204895,0.0,0.4168272316455841,0.9188866019248962,0.8516597747802734,1.0,0.5831727385520935
116,0.0720786526799202,0.11193294078111649,0.0,0.45039257407188416,0.9279213547706604,0.8880670666694641,1.0,0.5496073961257935
117,0.06629907339811325,0.09125206619501114,0.0,0.493537962436676,0.9337009191513062,0.9087479114532471,1.0,0.506462037563324
118,0.06277818232774734,0.08037340641021729,0.0,0.5138888955116272,0.9372218251228333,0.9196265935897827,1.0,0.4861111044883728
119,0.06025376915931702,0.0710625946521759,0.0,0.5399448871612549,0.9397462010383606,0.9289373755455017,1.0,0.46005508303642273
120,0.05899156257510185,0.06975726783275604,0.0,0.5502901077270508,0.941008448600769,0.9302427172660828,1.0,0.44970986247062683
121,0.06151597574353218,0.07409988343715668,0.0,0.5916179418563843,0.9384840130805969,0.9259001016616821,1.0,0.4083820581436157
122,0.0643061175942421,0.08165225386619568,0.0,0.6487603187561035,0.9356938600540161,0.9183477163314819,1.0,0.3512396812438965
123,0.06556832790374756,0.09049653261899948,0.0,0.7686832547187805,0.9344316720962524,0.9095034599304199,1.0,0.2313167303800583
124,0.06470470875501633,0.09778989106416702,0.0,0.8966942429542542,0.9352952837944031,0.9022101163864136,1.0,0.10330578684806824
125,0.06483757495880127,0.1020951122045517,0.0,0.9737991094589233,0.9351624250411987,0.8979048728942871,1.0,0.026200873777270317
126,0.05879226699471474,0.08112206310033798,0.0,0.862467885017395,0.9412077069282532,0.9188779592514038,1.0,0.13753212988376617
127,0.04298146441578865,0.008064515888690948,0.0,0.6829004287719727,0.9570185542106628,0.9919354915618896,1.0,0.31709957122802734
128,0.042383577674627304,0.044341497123241425,0.0,0.5511583089828491,0.9576164484024048,0.955658495426178,1.0,0.4488416910171509
129,0.04417724162340164,0.12375790625810623,0.0,0.4285714328289032,0.955822765827179,0.8762421011924744,1.0,0.5714285969734192
130,0.04623663052916527,0.30674001574516296,0.0,0.3296167254447937,0.9537633657455444,0.6932599544525146,1.0,0.6703832745552063
131,0.04490799084305763,0.32043343782424927,0.0,0.3282015323638916,0.9550920128822327,0.6795665621757507,1.0,0.6717984676361084
132,0.041254233568906784,0.35892513394355774,0.0,0.3122302293777466,0.9587457776069641,0.6410748362541199,1.0,0.6877697706222534
133,0.03667043149471283,0.3615560531616211,0.0,0.29424944519996643,0.963329553604126,0.6384439468383789,1.0,0.705750584602356
134,0.03235235437750816,0.3969230651855469,0.0,0.27496159076690674,0.9676476716995239,0.6030769348144531,1.0,0.7250384092330933
135,0.025775592774152756,0.2891986072063446,0.0,0.24596774578094482,0.9742243885993958,0.7108014225959778,1.0,0.7540322542190552
136,0.0025908455718308687,0.1344827562570572,0.0,0.0,0.9974091649055481,0.865517258644104,1.0,1.0
137,0.007506809197366238,0.2810945212841034,0.0,0.0,0.992493212223053,0.7189054489135742,1.0,1.0
138,0.02703779935836792,0.5170068144798279,0.0,0.023725835606455803,0.9729622006416321,0.4829931855201721,1.0,0.9762741923332214
139,0.058061517775058746,0.7086998820304871,0.0,0.1635565310716629,0.9419384598731995,0.29130008816719055,1.0,0.8364434838294983
140,0.09340330958366394,0.6243154406547546,0.0,0.41112828254699707,0.9065967202186584,0.37568455934524536,1.0,0.5888717174530029
141,0.11379791051149368,0.5245827436447144,0.0,0.5538771152496338,0.8862020969390869,0.47541722655296326,1.0,0.4461228549480438
